mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Conviene Riego,Conviene Energia
62,1676.2042486567375,0.6029511685815603,157.83365040637995,12626692.032510396,470.0,245.74404789462176,0.5228596763715356,1140.739465285959,111.97814993773093,208.92248951194438,214.56414392110298,0.7761961239216254,1.0,1.0,0.9796594169345124,127.54365922479045,5.978137431938162,10.58848065840456,13.723373091246774,0,1
63,1676.1036845227807,0.602914994432655,185.59302187563546,14847441.750050837,314.0,188.4,0.6,1140.2592700732175,111.0452167569832,210.44082321544897,214.35837447713098,1.0,1.0,1.0,1.0,139.3909773803575,8.347659918975863,17.01150705732012,20.842877518981982,0,1
64,1671.3211251064763,0.6011946493188763,249.96179580629112,19996943.66450329,180.0,108.0,0.6,1139.528251167702,110.05944880172916,207.68849135682876,214.04493378021655,1.0,1.0,1.0,1.0,189.36857791053896,10.868465157134466,21.056288107019448,28.66846463159825,0,1
65,1671.6813250978435,0.6013242176610948,247.77376357488004,19821901.085990403,155.0,93.0,0.6,1139.1874509640961,109.37872250460013,209.21666892499422,213.8984827041529,1.0,1.0,1.0,1.0,186.50906512215315,10.685633551777768,22.13880685892982,28.440258042019313,0,1
66,1667.9605457437176,0.5999858078214811,235.28834799682517,18823067.839746013,155.0,93.0,0.6,1139.0135477524198,108.859976134886,206.26354383166495,213.82347802474698,1.0,1.0,1.0,1.0,177.29585157229403,10.13495267256369,20.840806184860636,27.01673756710682,0,1
67,1665.0235801736496,0.5989293453862049,243.51730649926495,19481384.519941196,224.0,134.4,0.6,1139.0147845148695,108.49727211285418,203.68800266903838,213.82352087688759,1.0,1.0,1.0,1.0,186.81849946489058,10.130676556955637,18.250408828752104,28.317721648666623,0,1
68,1680.631316349937,0.6045436389747975,141.40527692398274,11312422.153918618,359.0,200.1661097079136,0.557565765203102,1139.395397615697,111.86434844380976,215.38536497507164,213.98620531535855,0.8730509142326135,1.0,1.0,1.0,109.45285914294536,5.888564012804214,12.249209044808628,13.814644723424527,0,1
69,1677.8473636609779,0.6035422171442366,179.0059795124217,14320478.360993737,449.0,254.63062729260568,0.5671060741483422,1139.9051480844576,111.43019893083014,212.30759983210606,214.20441681358398,0.9015375152840378,1.0,1.0,1.0,141.30842525625894,6.7109196327938365,12.367977151227823,18.61865747214111,0,1
70,1695.876870852494,0.6100276513857892,163.86405186396166,13109124.149116933,515.0,258.8471472908482,0.5026158199822296,1140.403423695965,118.00699990909327,223.04852710710992,214.41792014032563,0.7326379459841967,1.0,1.0,0.9285918922286384,131.85611698906828,5.792934492196086,12.029580229353671,14.185420153343605,0,1
71,1691.2641534914956,0.6083684005365092,128.7216539122877,10297732.312983017,470.0,211.12545941537152,0.44920310513908834,1140.7417356127949,116.74848173024664,219.21088511111975,214.5630510373344,0.6388092436620391,1.0,0.9060622327457531,0.8056308184786416,104.96849750326216,3.612087367803552,8.855573043092697,11.285495998129287,0,1
